139578,7,aquisition_unlikely,aquisition_likely,,,,
0,0,0,3,76.97,0,0,1
1,2,3,1,5.99,6,35.94,0
1,1,1,2,70.98,3,76.97,0
0,0,0,1,5.99,3,17.97,0
1,2,3,1,5.99,6,35.94,0
2,2,3,2,11.98,1,5.99,0
0,0,0,1,5.99,5,29.95,0
1,1,2,2,11.98,1,5.99,0
0,0,0,1,5.99,3,17.97,0
0,0,0,3,76.97,1,5.99,1
1,1,1,3,76.97,4,136.36,0
0,0,0,2,70.98,3,71.98,1
0,0,0,2,11.98,3,12.17,0
1,2,3,2,70.98,7,95.94,0
0,0,0,1,5.99,2,11.98,0
0,0,0,2,70.98,1,60,1
0,0,0,2,11.98,7,41.93,0
0,0,0,1,5.99,5,29.95,0
0,0,0,1,5.99,2,11.98,0
0,0,0,2,11.98,3,12.17,1
0,0,0,2,11.98,2,11.98,0
0,0,0,1,5.99,2,11.98,1
1,2,2,2,11.98,5,29.95,1
0,0,0,1,5.99,2,11.98,0
0,0,0,2,70.98,4,77.97,0
0,0,0,1,5.99,2,11.98,0
1,2,2,2,11.98,2,11.98,1
0,0,0,1,5.99,4,23.96,0
0,0,0,3,17.97,2,11.98,1
1,2,3,1,5.99,6,35.94,0
0,0,0,2,70.98,5,83.96,1
1,2,2,2,11.98,4,23.96,1
1,1,1,2,70.98,5,147.95,0
0,0,0,2,11.98,4,23.96,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,3,17.97,0
0,0,0,1,5.99,3,19.44,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,2,11.98,0
0,0,0,2,11.98,1,5.99,0
6,15,16,1,5.99,6,35.94,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,64.99,1,280,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,5.99,0
0,0,0,2,11.98,2,11.98,0
5,14,15,1,5.99,6,35.94,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,6.48,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,1,5.99,0
1,1,1,2,11.98,3,17.97,0
2,3,4,2,11.98,7,41.93,0
0,0,0,1,5.99,1,6.48,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,5.99,0
1,1,1,2,70.98,2,70.98,0
0,0,0,1,5.99,1,6.56,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,6,35.94,0
1,2,3,1,5.99,3,17.97,0
2,4,5,2,11.98,5,29.95,0
1,2,3,1,5.99,3,19.44,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,1,6.44,0
1,2,3,1,5.99,6,35.94,0
1,2,2,1,5.99,1,6.48,0
1,2,3,1,5.99,6,38.88,0
0,0,0,1,5.99,3,17.97,0
0,0,0,1,5.99,2,11.98,0
1,2,3,1,5.99,5,29.95,0
2,4,5,2,11.98,5,29.95,0
1,2,3,1,5.99,6,39.18,0
0,0,0,1,5.99,1,5.99,0
1,1,1,1,5.99,1,5.99,0
5,12,13,4,23.96,8,47.92,0
1,2,3,1,5.99,6,35.94,0
1,2,3,1,5.99,6,35.94,0
4,8,9,1,5.99,6,38.46,0
6,7,8,3,17.97,2,11.98,1
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,6.41,0
1,2,3,1,5.99,4,25.64,0
1,2,3,1,5.99,6,38.88,0
0,0,0,1,5.99,1,5.99,0
0,0,0,2,11.98,3,13.38,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,1,6.45,0
3,6,7,1,5.99,4,23.96,0
1,2,3,1,5.99,6,38.88,0
0,0,0,1,5.99,4,25.92,0
1,2,4,1,5.99,6,35.94,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
0,0,0,2,11.98,4,23.96,0
1,2,4,1,5.99,4,26.12,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,1,6.55,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,6,35.94,0
1,2,3,1,5.99,6,38.82,0
0,0,0,1,5.99,1,5.99,0
2,3,4,1,5.99,6,35.94,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,3,17.97,0
0,0,0,1,5.99,4,25.64,0
0,0,0,1,5.99,1,6.48,0
0,0,0,1,5.99,2,12.66,0
1,2,3,1,5.99,6,40.31,0
0,0,0,1,5.99,3,17.97,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,3,17.97,0
0,0,0,2,11.98,2,11.98,1
0,0,0,1,5.99,2,11.98,0
1,2,3,1,5.99,6,35.94,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,6,35.94,0
1,2,3,1,5.99,3,17.97,0
0,0,0,2,11.98,2,6.38,0
0,0,0,1,5.99,3,17.97,0
1,2,3,1,5.99,6,38.64,0
1,2,3,1,5.99,6,35.94,0
1,2,3,1,5.99,6,35.94,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,1,6.53,0
0,0,0,1,5.99,2,12.82,0
0,0,0,1,5.99,1,6.26,0
0,0,0,1,5.99,2,11.98,0
3,4,5,1,5.99,6,35.94,0
1,2,4,1,5.99,6,38.88,0
0,0,0,1,5.99,3,19.41,0
